ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup
104830,원익머트리얼즈,50200,46224,+8.6%,1.4x,7/7,Double Bottom,,,,,,KOSDAQ,40600.0,39950.0,49000.0,+2.4%,,,,,,,
119850,지엔씨에너지,38000,34647,+9.7%,2.7x,6/7,Double Bottom,,,,,,KOSDAQ,31150.0,29650.0,37050.0,+2.6%,,,,,,,
039440,에스티아이,37800,33770,+11.9%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,29250.0,28450.0,36800.0,+2.7%,,,,,,,
389500,에스비비테크,71600,56186,+27.4%,0.0x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,72500.0,-1.2%,0.8x avg,,,,
110990,디아이티,24650,22032,+11.9%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,+0.4%,,,,,,,
078020,LS증권,8190,7610,+7.6%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,6700.0,6680.0,8330.0,-1.7%,,,,,,,
355150,코스텍시스,55100,26015,+111.8%,0.3x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,54000.0,+2.0%,0.5x avg,,,,
417840,저스템,14300,8385,+70.5%,0.3x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,14500.0,-1.4%,0.4x avg,,,,
126700,하이비젼시스템,18630,17638,+5.6%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,15630.0,15470.0,19020.0,-2.1%,,,,,,,
209640,와이제이링크,9690,5265,+84.0%,0.7x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,9770.0,-0.8%,0.4x avg,,,,
417010,나노팀,11470,10778,+6.4%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,8730.0,8960.0,11490.0,-0.2%,,,,,,,
163730,핑거,21950,12448,+76.3%,0.4x,6/7,Pivot Setup,,,,,,KOSDAQ,,,,,21800.0,+0.7%,0.3x avg,,,,
122990,와이솔,7510,7200,+4.3%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,6510.0,6240.0,7610.0,-1.3%,,,,,,,
037070,파세코,9120,8687,+5.0%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,8130.0,8330.0,8740.0,+4.3%,,,,,,,
027710,팜스토리,1518,1357,+11.8%,3.4x,7/7,Flat Base Breakout,,,,,,KOSDAQ,,,,,,,,1500.0,13.3%,+1.2%,False
250060,모비스,4965,4790,+3.7%,0.6x,6/7,Double Bottom,,,,,,KOSDAQ,4050.0,4250.0,5010.0,-0.9%,,,,,,,
187870,디바이스,21550,13283,+62.2%,0.8x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,21750.0,-0.9%,0.6x avg,,,,
432470,케이엔에스,15390,14075,+9.3%,1.8x,7/7,Double Bottom,,,,,,KOSDAQ,12010.0,12350.0,15640.0,-1.6%,,,,,,,
241690,유니테크노,4010,3810,+5.2%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,3400.0,3480.0,3970.0,+1.0%,,,,,,,
052900,KX하이텍,1265,1191,+6.1%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,1050.0,1057.0,1258.0,+0.6%,,,,,,,
297570,알로이스,1539,1578,-2.5%,2.4x,6/7,Double Bottom,,,,,,KOSDAQ,1301.0,1343.0,1495.0,+2.9%,,,,,,,
466910,엔에이치스팩30호,5640,4514,+24.9%,0.0x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,5740.0,-1.7%,0.0x avg,,,,
119500,포메탈,4265,4158,+2.6%,1.4x,7/7,Double Bottom,,,,,,KOSDAQ,3845.0,3705.0,4370.0,-2.4%,,,,,,,
019570,플루토스,473,402,+17.6%,0.3x,6/7,Double Bottom,,,,,,KOSDAQ,340.0,330.0,466.0,+1.5%,,,,,,,
