ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,range1,range2,range3,contraction,vol_contraction,box_high,box_range,breakout,pivot_dryup
001500,현대차증권,11650,11214,+3.9%,4.2x,7/7,Double Bottom,10280.0,9830.0,11600.0,+0.4%,KOSPI,,,,,,,,,,,,
293940,신한알파리츠,5870,5866,+0.1%,1.5x,6/7,Double Bottom,5460.0,5640.0,5910.0,-0.7%,KOSPI,,,,,,,,,,,,
000400,롯데손해보험,2195,2152,+2.0%,4.6x,7/7,Double Bottom,2000.0,2090.0,2195.0,+0.0%,KOSPI,,,,,,,,,,,,
034830,한국토지신탁,1586,1562,+1.5%,0.7x,6/7,Double Bottom,1486.0,1526.0,1552.0,+2.2%,KOSPI,,,,,,,,,,,,
011500,한농화성,23700,22514,+5.3%,0.5x,7/7,Double Bottom,19550.0,19350.0,23950.0,-1.0%,KOSPI,,,,,,,,,,,,
404990,신한서부티엔디리츠,4440,4406,+0.8%,1.1x,7/7,Double Bottom,4135.0,4085.0,4540.0,-2.2%,KOSPI,,,,,,,,,,,,
013580,계룡건설,28700,27176,+5.6%,0.3x,7/7,Double Bottom,24200.0,24600.0,29400.0,-2.4%,KOSPI,,,,,,,,,,,,
095570,AJ네트웍스,5090,5112,-0.4%,1.9x,6/7,VCP,,,,,KOSPI,,,,17.0%,10.4%,7.4%,43% of initial,True,,,,
015230,대창단조,7300,6729,+8.5%,1.5x,7/7,Flat Base Breakout,,,,,KOSPI,,,,,,,,,7200.0,9.8%,+1.4%,True
317400,자이에스앤디,4685,4481,+4.5%,0.9x,7/7,Double Bottom,4100.0,4035.0,4570.0,+2.5%,KOSPI,,,,,,,,,,,,
012280,영화금속,1086,1058,+2.6%,0.7x,7/7,Double Bottom,1011.0,1001.0,1086.0,+0.0%,KOSPI,,,,,,,,,,,,
049800,우진플라임,2725,2692,+1.2%,0.3x,7/7,Double Bottom,2325.0,2425.0,2645.0,+3.0%,KOSPI,,,,,,,,,,,,
195940,HK이노엔,52000,51319,+1.3%,1.0x,7/7,Double Bottom,45550.0,46800.0,53100.0,-2.1%,KOSDAQ,,,,,,,,,,,,
420770,기가비스,109500,80666,+35.7%,0.8x,7/7,Pivot Setup,,,,,KOSDAQ,110900.0,-1.3%,0.7x avg,,,,,,,,,
356860,티엘비,91900,70859,+29.7%,0.8x,7/7,Pivot Setup,,,,,KOSDAQ,89300.0,+2.9%,0.7x avg,,,,,,,,,
272290,이녹스첨단소재,36300,33057,+9.8%,1.6x,7/7,Double Bottom,27850.0,28650.0,35400.0,+2.5%,KOSDAQ,,,,,,,,,,,,
041960,코미팜,9720,8761,+10.9%,0.5x,7/7,Double Bottom,7900.0,7740.0,9610.0,+1.1%,KOSDAQ,,,,,,,,,,,,
119850,지엔씨에너지,37050,34793,+6.5%,2.0x,7/7,Double Bottom,31150.0,29650.0,37050.0,+0.0%,KOSDAQ,,,,,,,,,,,,
110990,디아이티,25550,21835,+17.0%,1.6x,7/7,Double Bottom,19000.0,18050.0,24550.0,+4.1%,KOSDAQ,,,,,,,,,,,,
078020,LS증권,8290,7572,+9.5%,4.2x,7/7,Double Bottom,6700.0,6680.0,8330.0,-0.5%,KOSDAQ,,,,,,,,,,,,
241520,DSC인베스트먼트,17260,15160,+13.9%,1.1x,7/7,Double Bottom,13320.0,12730.0,16500.0,+4.6%,KOSDAQ,,,,,,,,,,,,
298830,슈어소프트테크,7790,7366,+5.7%,1.5x,7/7,Double Bottom,6300.0,6520.0,7580.0,+2.8%,KOSDAQ,,,,,,,,,,,,
067390,아스트,796,786,+1.1%,1.8x,7/7,Double Bottom,733.0,702.0,807.0,-1.4%,KOSDAQ,,,,,,,,,,,,
417840,저스템,12850,7983,+61.0%,0.3x,7/7,Pivot Setup,,,,,KOSDAQ,12970.0,-0.9%,0.4x avg,,,,,,,,,
474170,루미르,16270,15222,+6.9%,0.8x,6/7,Double Bottom,13000.0,13090.0,16630.0,-2.2%,KOSDAQ,,,,,,,,,,,,
417010,나노팀,11300,10770,+4.9%,0.4x,7/7,Double Bottom,8730.0,8960.0,11490.0,-1.7%,KOSDAQ,,,,,,,,,,,,
047770,코데즈컴바인,5280,4684,+12.7%,3.7x,7/7,Double Bottom,4150.0,4060.0,5210.0,+1.3%,KOSDAQ,,,,,,,,,,,,
101170,우림피티에스,14630,13893,+5.3%,0.0x,6/7,Double Bottom,12230.0,12230.0,14680.0,-0.3%,KOSDAQ,,,,,,,,,,,,
340450,지씨지놈,8270,7827,+5.7%,1.4x,6/7,Double Bottom,7400.0,7050.0,8280.0,-0.1%,KOSDAQ,,,,,,,,,,,,
040300,YTN,3485,3339,+4.4%,0.1x,6/7,Double Bottom,3055.0,3010.0,3400.0,+2.5%,KOSDAQ,,,,,,,,,,,,
149980,하이로닉,7300,5134,+42.2%,infx,7/7,Flat Base Breakout,,,,,KOSDAQ,,,,,,,,,0.0,nan%,+inf%,False
089230,THE E&M,3915,2529,+54.8%,0.2x,7/7,Pivot Setup,,,,,KOSDAQ,3955.0,-1.0%,0.5x avg,,,,,,,,,
330350,위더스제약,8930,8847,+0.9%,0.9x,6/7,Double Bottom,8000.0,8110.0,8910.0,+0.2%,KOSDAQ,,,,,,,,,,,,
448710,코츠테크놀로지,22300,20312,+9.8%,0.8x,6/7,Double Bottom,17070.0,17090.0,22100.0,+0.9%,KOSDAQ,,,,,,,,,,,,
011370,서한,1073,1067,+0.5%,1.4x,6/7,Double Bottom,1033.0,1009.0,1106.0,-3.0%,KOSDAQ,,,,,,,,,,,,
241690,유니테크노,4015,3808,+5.4%,2.7x,7/7,Double Bottom,3400.0,3480.0,3970.0,+1.1%,KOSDAQ,,,,,,,,,,,,
052900,KX하이텍,1239,1202,+3.0%,0.8x,7/7,Double Bottom,1050.0,1057.0,1258.0,-1.5%,KOSDAQ,,,,,,,,,,,,
042110,에스씨디,1594,1435,+11.0%,0.8x,6/7,Double Bottom,1431.0,1488.0,1546.0,+3.1%,KOSDAQ,,,,,,,,,,,,
232830,아이티센피엔에스,4615,2980,+54.9%,1.0x,7/7,Pivot Setup,,,,,KOSDAQ,4515.0,+2.2%,0.6x avg,,,,,,,,,
089790,제이티,6270,5911,+6.1%,1.2x,7/7,Double Bottom,5060.0,5010.0,6160.0,+1.8%,KOSDAQ,,,,,,,,,,,,
466910,엔에이치스팩30호,5640,4399,+28.2%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,5740.0,-1.7%,0.0x avg,,,,,,,,,
119500,포메탈,4320,4207,+2.7%,1.1x,7/7,Double Bottom,3845.0,3705.0,4370.0,-1.1%,KOSDAQ,,,,,,,,,,,,
081580,성우전자,3210,3110,+3.2%,0.7x,6/7,Double Bottom,2820.0,2830.0,3100.0,+3.5%,KOSDAQ,,,,,,,,,,,,
019570,플루토스,456,400,+13.8%,0.2x,6/7,Double Bottom,340.0,330.0,466.0,-2.1%,KOSDAQ,,,,,,,,,,,,
