ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup
033790,피노,17480,8716,+100.5%,0.8x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,17350.0,+0.7%,0.8x avg
356860,티엘비,95300,72215,+32.0%,0.6x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,96300.0,-1.0%,0.7x avg
119850,지엔씨에너지,36950,34690,+6.5%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,31150.0,29650.0,37050.0,-0.3%,,,
039440,에스티아이,38550,33719,+14.3%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,29250.0,28450.0,36800.0,+4.8%,,,
110990,디아이티,24900,22011,+13.1%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,+1.4%,,,
078020,LS증권,8270,7600,+8.8%,1.7x,7/7,Double Bottom,,,,,,KOSDAQ,6700.0,6680.0,8330.0,-0.7%,,,
298830,슈어소프트테크,7560,7345,+2.9%,1.1x,6/7,Double Bottom,,,,,,KOSDAQ,6300.0,6520.0,7580.0,-0.3%,,,
100120,뷰웍스,30900,26886,+14.9%,2.4x,7/7,Double Bottom,,,,,,KOSDAQ,24300.0,24350.0,30200.0,+2.3%,,,
417010,나노팀,11330,10780,+5.1%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,8730.0,8960.0,11490.0,-1.4%,,,
187790,나노,6820,4428,+54.0%,0.9x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,6860.0,-0.6%,0.6x avg
122990,와이솔,7460,7192,+3.7%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,6510.0,6240.0,7610.0,-2.0%,,,
101170,우림피티에스,14590,13843,+5.4%,11.8x,6/7,Double Bottom,,,,,,KOSDAQ,12230.0,12230.0,14680.0,-0.6%,,,
037070,파세코,9150,8676,+5.5%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,8130.0,8330.0,8740.0,+4.7%,,,
250060,모비스,5120,4805,+6.5%,2.7x,6/7,Double Bottom,,,,,,KOSDAQ,4050.0,4250.0,5010.0,+2.2%,,,
021080,에이티넘인베스트,3260,3192,+2.1%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,2810.0,2845.0,3115.0,+4.7%,,,
065450,빅텍,5150,5290,-2.7%,0.3x,6/7,Double Bottom,,,,,,KOSDAQ,4780.0,4600.0,5290.0,-2.6%,,,
011370,서한,1075,1065,+0.9%,1.4x,6/7,Double Bottom,,,,,,KOSDAQ,1033.0,1009.0,1106.0,-2.8%,,,
241690,유니테크노,3890,3808,+2.1%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,3400.0,3480.0,3970.0,-2.0%,,,
052900,KX하이텍,1295,1196,+8.2%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,1050.0,1057.0,1258.0,+2.9%,,,
451700,엔에이치스팩29호,3585,2543,+41.0%,0.5x,6/7,Pivot Setup,,,,,,KOSDAQ,,,,,3640.0,-1.5%,0.8x avg
466910,엔에이치스팩30호,5640,4477,+26.0%,0.0x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,5740.0,-1.7%,0.0x avg
297570,알로이스,1464,1574,-7.0%,0.8x,6/7,Double Bottom,,,,,,KOSDAQ,1301.0,1343.0,1495.0,-2.1%,,,
019570,플루토스,456,401,+13.6%,0.3x,6/7,Double Bottom,,,,,,KOSDAQ,340.0,330.0,466.0,-2.1%,,,
