ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
041960,코미팜,10040,8717,+15.2%,0.5x,7/7,Double Bottom,7900.0,7740.0,9610.0,+4.5%,KOSDAQ,,,,,,,,,,,,
272290,이녹스첨단소재,35200,33184,+6.1%,1.0x,7/7,Double Bottom,27850.0,28650.0,35400.0,-0.6%,KOSDAQ,,,,,,,,,,,,
039440,에스티아이,38350,33347,+15.0%,1.5x,7/7,Double Bottom,29250.0,28450.0,36800.0,+4.2%,KOSDAQ,,,,,,,,,,,,
119850,지엔씨에너지,36000,34953,+3.0%,1.9x,6/7,Double Bottom,31150.0,29650.0,37050.0,-2.8%,KOSDAQ,,,,,,,,,,,,
110990,디아이티,25650,21590,+18.8%,1.0x,7/7,Double Bottom,19000.0,18050.0,24550.0,+4.5%,KOSDAQ,,,,,,,,,,,,
091700,파트론,8220,8164,+0.7%,0.7x,6/7,VCP,,,,,KOSDAQ,,,,,,,,24.6%,18.2%,9.3%,38% of initial,True
114190,강원에너지,16030,14119,+13.5%,1.1x,6/7,Pivot Setup,,,,,KOSDAQ,16200.0,-1.0%,0.7x avg,,,,,,,,,
298830,슈어소프트테크,7740,7401,+4.6%,2.5x,7/7,Double Bottom,6300.0,6520.0,7580.0,+2.1%,KOSDAQ,,,,,,,,,,,,
067390,아스트,791,782,+1.1%,1.2x,7/7,Double Bottom,733.0,702.0,807.0,-2.0%,KOSDAQ,,,,,,,,,,,,
474170,루미르,17450,15382,+13.4%,2.4x,6/7,Double Bottom,13000.0,13090.0,16630.0,+4.9%,KOSDAQ,,,,,,,,,,,,
126700,하이비젼시스템,18920,17643,+7.2%,1.7x,6/7,Double Bottom,15630.0,15470.0,19020.0,-0.5%,KOSDAQ,,,,,,,,,,,,
297090,씨에스베어링,9060,7567,+19.7%,0.8x,6/7,Double Bottom,7690.0,7550.0,9140.0,-0.9%,KOSDAQ,,,,,,,,,,,,
289080,SV인베스트먼트,4540,3781,+20.0%,1.4x,7/7,Pivot Setup,,,,,KOSDAQ,4580.0,-0.9%,0.7x avg,,,,,,,,,
340450,지씨지놈,8520,7874,+8.2%,1.3x,6/7,Double Bottom,7400.0,7050.0,8280.0,+2.9%,KOSDAQ,,,,,,,,,,,,
122990,와이솔,7490,7088,+5.7%,0.7x,6/7,Double Bottom,6510.0,6240.0,7610.0,-1.6%,KOSDAQ,,,,,,,,,,,,
456070,이엔셀,16460,15636,+5.3%,0.8x,6/7,Double Bottom,14600.0,14000.0,16020.0,+2.7%,KOSDAQ,,,,,,,,,,,,
322180,LS티라유텍,8580,7900,+8.6%,1.5x,7/7,Double Bottom,6890.0,6730.0,8380.0,+2.4%,KOSDAQ,,,,,,,,,,,,
067000,조이시티,2475,2556,-3.2%,0.6x,6/7,Double Bottom,2330.0,2245.0,2540.0,-2.6%,KOSDAQ,,,,,,,,,,,,
040300,YTN,3440,3351,+2.6%,0.5x,6/7,Double Bottom,3055.0,3010.0,3400.0,+1.2%,KOSDAQ,,,,,,,,,,,,
225190,LK삼양,2280,2131,+7.0%,0.5x,6/7,Double Bottom,1830.0,1801.0,2320.0,-1.7%,KOSDAQ,,,,,,,,,,,,
049520,유아이엘,4065,3999,+1.6%,1.2x,7/7,Double Bottom,3705.0,3670.0,4165.0,-2.4%,KOSDAQ,,,,,,,,,,,,
330350,위더스제약,9150,8831,+3.6%,1.7x,7/7,Double Bottom,8000.0,8110.0,8910.0,+2.7%,KOSDAQ,,,,,,,,,,,,
448710,코츠테크놀로지,21750,20113,+8.1%,0.4x,6/7,Double Bottom,17070.0,17090.0,22100.0,-1.6%,KOSDAQ,,,,,,,,,,,,
011370,서한,1105,1064,+3.8%,1.0x,7/7,Double Bottom,1033.0,1009.0,1106.0,-0.1%,KOSDAQ,,,,,,,,,,,,
241690,유니테크노,3880,3800,+2.1%,0.8x,6/7,Double Bottom,3400.0,3480.0,3970.0,-2.3%,KOSDAQ,,,,,,,,,,,,
263020,디케이앤디,4130,3123,+32.2%,92.1x,7/7,Flat Base Breakout,,,,,KOSDAQ,,,,3340.0,9.0%,+23.7%,True,,,,,
126640,화신정공,1602,1517,+5.5%,2.6x,7/7,VCP + Flat Base Breakout,,,,,KOSDAQ,,,,1591.0,9.2%,+0.7%,True,27.5%,18.8%,9.4%,34% of initial,True
119500,포메탈,4380,4247,+3.1%,1.1x,7/7,Double Bottom,3845.0,3705.0,4370.0,+0.2%,KOSDAQ,,,,,,,,,,,,
466910,엔에이치스팩30호,5640,4287,+31.6%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,5740.0,-1.7%,0.6x avg,,,,,,,,,
017000,신원종합개발,3215,3120,+3.0%,0.5x,7/7,Double Bottom,2735.0,2865.0,3250.0,-1.1%,KOSDAQ,,,,,,,,,,,,
019570,플루토스,489,404,+20.9%,1.1x,6/7,Double Bottom,340.0,330.0,466.0,+4.9%,KOSDAQ,,,,,,,,,,,,
