ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
454910,두산로보틱스,93500,93394,+0.1%,0.7x,6/7,Double Bottom,80600.0,79500.0,94300.0,-0.8%,,,,KOSPI,,,,,,,,,
271560,오리온,136900,131212,+4.3%,1.0x,7/7,Double Bottom,123600.0,127000.0,137800.0,-0.7%,,,,KOSPI,,,,,,,,,
103590,일진전기,86200,77328,+11.5%,0.7x,6/7,Double Bottom,72400.0,69500.0,82600.0,+4.4%,,,,KOSPI,,,,,,,,,
336260,두산퓨얼셀,46050,38694,+19.0%,1.6x,6/7,Double Bottom,32750.0,33400.0,46250.0,-0.4%,,,,KOSPI,,,,,,,,,
028670,팬오션,5470,5184,+5.5%,0.8x,6/7,Double Bottom,5000.0,4820.0,5330.0,+2.6%,,,,KOSPI,,,,,,,,,
085620,미래에셋생명,17450,14469,+20.6%,0.4x,7/7,Double Bottom,15600.0,16120.0,17910.0,-2.6%,,,,KOSPI,,,,,,,,,
030610,교보증권,13170,12922,+1.9%,0.5x,6/7,Double Bottom,11600.0,11400.0,13280.0,-0.8%,,,,KOSPI,,,,,,,,,
195870,해성디에스,60500,57105,+5.9%,0.9x,6/7,Double Bottom,48400.0,46750.0,60300.0,+0.3%,,,,KOSPI,,,,,,,,,
293940,신한알파리츠,6100,5810,+5.0%,1.1x,6/7,Double Bottom,5460.0,5640.0,5910.0,+3.2%,,,,KOSPI,,,,,,,,,
025860,남해화학,8840,7956,+11.1%,1.2x,6/7,Double Bottom,7930.0,7810.0,8440.0,+4.7%,,,,KOSPI,,,,,,,,,
001390,KG케미칼,5870,5482,+7.1%,0.8x,7/7,Pivot Setup,,,,,5970.0,-1.7%,0.8x avg,KOSPI,,,,,,,,,
001340,PKC,7970,6731,+18.4%,10.3x,7/7,Flat Base Breakout,,,,,,,,KOSPI,7140.0,14.6%,+11.6%,False,,,,,
009160,SIMPAC,5400,5106,+5.7%,0.7x,7/7,Double Bottom,4800.0,4570.0,5260.0,+2.7%,,,,KOSPI,,,,,,,,,
002900,TYM,7340,7069,+3.8%,1.6x,6/7,Flat Base Breakout,,,,,,,,KOSPI,7310.0,13.7%,+0.4%,False,,,,,
404990,신한서부티엔디리츠,4430,4255,+4.1%,1.2x,6/7,Double Bottom,4135.0,4085.0,4540.0,-2.4%,,,,KOSPI,,,,,,,,,
095570,AJ네트웍스,5120,5144,-0.5%,0.8x,6/7,VCP,,,,,,,,KOSPI,,,,,21.7%,17.2%,5.9%,27% of initial,True
317400,자이에스앤디,4590,4436,+3.5%,2.5x,6/7,Double Bottom,4100.0,4035.0,4570.0,+0.4%,,,,KOSPI,,,,,,,,,
012280,영화금속,1103,1034,+6.7%,0.6x,6/7,Double Bottom,1011.0,1001.0,1086.0,+1.6%,,,,KOSPI,,,,,,,,,
002690,동일제강,1684,1592,+5.8%,0.1x,6/7,Double Bottom,1446.0,1500.0,1652.0,+1.9%,,,,KOSPI,,,,,,,,,
108490,로보티즈,273000,261890,+4.2%,0.8x,6/7,Double Bottom,238000.0,233000.0,267000.0,+2.2%,,,,KOSDAQ,,,,,,,,,
005290,동진쎄미켐,55300,50542,+9.4%,0.4x,6/7,Double Bottom,45150.0,44000.0,55000.0,+0.5%,,,,KOSDAQ,,,,,,,,,
098460,고영,33000,29720,+11.0%,7.4x,6/7,Double Bottom,25550.0,24450.0,33100.0,-0.3%,,,,KOSDAQ,,,,,,,,,
195940,HK이노엔,52300,51759,+1.0%,0.7x,6/7,Double Bottom,45550.0,46800.0,53100.0,-1.5%,,,,KOSDAQ,,,,,,,,,
213420,덕산네오룩스,55800,45025,+23.9%,0.8x,7/7,Pivot Setup,,,,,55900.0,-0.2%,0.8x avg,KOSDAQ,,,,,,,,,
036540,SFA반도체,7340,6993,+5.0%,1.1x,6/7,Double Bottom,6030.0,5990.0,7500.0,-2.1%,,,,KOSDAQ,,,,,,,,,
033100,제룡전기,51100,50484,+1.2%,0.9x,6/7,Double Bottom,43000.0,43500.0,50200.0,+1.8%,,,,KOSDAQ,,,,,,,,,
009520,포스코엠텍,19520,18503,+5.5%,4.1x,6/7,Flat Base Breakout,,,,,,,,KOSDAQ,18970.0,14.5%,+2.9%,True,,,,,
272290,이녹스첨단소재,36850,33573,+9.8%,3.4x,6/7,Double Bottom,27850.0,28650.0,35400.0,+4.1%,,,,KOSDAQ,,,,,,,,,
037460,삼지전자,31450,24342,+29.2%,0.7x,7/7,Pivot Setup,,,,,30750.0,+2.3%,0.7x avg,KOSDAQ,,,,,,,,,
091700,파트론,8480,8010,+5.9%,0.7x,6/7,Double Bottom,7500.0,7620.0,8580.0,-1.2%,,,,KOSDAQ,,,,,,,,,
092870,엑시콘,32200,28988,+11.1%,0.7x,6/7,Double Bottom,24500.0,25100.0,31850.0,+1.1%,,,,KOSDAQ,,,,,,,,,
036200,유니셈,11220,10032,+11.8%,1.5x,6/7,Double Bottom,8590.0,8520.0,10720.0,+4.7%,,,,KOSDAQ,,,,,,,,,
067390,아스트,821,763,+7.6%,1.0x,6/7,Double Bottom,733.0,702.0,807.0,+1.7%,,,,KOSDAQ,,,,,,,,,
160980,싸이맥스,29950,22993,+30.3%,0.9x,7/7,Pivot Setup,,,,,29550.0,+1.4%,0.6x avg,KOSDAQ,,,,,,,,,
061970,LB세미콘,5040,4553,+10.7%,1.4x,6/7,Double Bottom,4005.0,3875.0,5000.0,+0.8%,,,,KOSDAQ,,,,,,,,,
017890,한국알콜,12470,11601,+7.5%,0.5x,6/7,Pivot Setup,,,,,12380.0,+0.7%,0.5x avg,KOSDAQ,,,,,,,,,
417010,나노팀,12030,10957,+9.8%,8.5x,6/7,Double Bottom,8730.0,8960.0,11490.0,+4.7%,,,,KOSDAQ,,,,,,,,,
047770,코데즈컴바인,5130,4495,+14.1%,1.0x,6/7,Double Bottom,4150.0,4060.0,5210.0,-1.5%,,,,KOSDAQ,,,,,,,,,
322180,LS티라유텍,8240,7971,+3.4%,0.7x,6/7,Double Bottom,6890.0,6730.0,8380.0,-1.7%,,,,KOSDAQ,,,,,,,,,
040300,YTN,3525,3358,+4.9%,4.4x,6/7,Double Bottom,3055.0,3010.0,3400.0,+3.7%,,,,KOSDAQ,,,,,,,,,
049520,유아이엘,4270,3953,+8.0%,0.5x,6/7,Double Bottom,3705.0,3670.0,4165.0,+2.5%,,,,KOSDAQ,,,,,,,,,
172670,에이엘티,12680,12455,+1.8%,0.8x,6/7,Double Bottom,10430.0,10610.0,12240.0,+3.6%,,,,KOSDAQ,,,,,,,,,
052900,KX하이텍,1241,1220,+1.7%,1.0x,6/7,Double Bottom,1050.0,1057.0,1258.0,-1.4%,,,,KOSDAQ,,,,,,,,,
046310,백금T&A,3750,3366,+11.4%,72.2x,6/7,Flat Base Breakout,,,,,,,,KOSDAQ,3225.0,13.2%,+16.3%,True,,,,,
126640,화신정공,1577,1506,+4.7%,2.0x,6/7,VCP,,,,,,,,KOSDAQ,,,,,28.4%,20.9%,9.2%,33% of initial,True
153490,우리이앤엘,830,750,+10.6%,3.0x,6/7,Double Bottom,720.0,756.0,795.0,+4.4%,,,,KOSDAQ,,,,,,,,,
